Car Name,Liters,Age,Distance,Price
Mercedes E 240,2.4,28,400000.0,10900.0
Toyota Camry,2.5,3,75000.0,47430.0
BMW X5,3.0,6,69500.0,107100.0
Nissan Tiida,1.5,14,143922.0,12900.0
Chevrolet Trax,1.4,6,67000.0,17900.0
Toyota RAV4,2.0,3,55000.0,48500.0
Chevrolet Malibu,1.5,6,132000.0,17900.0
BMW X5,3.0,9,178000.0,47600.0
Mercedes Vito 115,2.2,17,400000.0,21500.0
Mercedes G 55 AMG,5.5,17,234000.0,68850.0
Mitsubishi L200,2.5,14,245350.0,22900.0
BMW 520,2.0,9,120000.0,40900.0
Nissan X-Trail,2.5,13,219000.0,19000.0
BMW 420,2.0,10,171000.0,30260.0
Land Rover RR Sport,5.0,15,160000.0,36550.0
BMW 528,2.0,9,111600.0,33500.0
Mercedes Vito,2.2,8,250000.0,50500.0
Kia K7,2.2,9,87300.0,36800.0
BMW X7,3.0,4,52500.0,139400.0
Ford Transit,2.2,11,236000.0,29500.0
Land Rover RR Sport,5.0,11,102000.0,68000.0
BMW 528,2.0,10,118000.0,35500.0
Toyota Corolla,1.6,12,255200.0,22300.0
Changan CS 55 Plus,1.5,0,0.0,31169.5
Mitsubishi L200,2.4,4,62000.0,70550.0
Mercedes B 200,2.0,17,168000.0,13500.0
Kia Forte,2.0,7,83686.0,22200.0
Chevrolet Equinox,1.5,7,79000.0,22800.0
Volkswagen Polo,1.6,4,75000.0,25000.0
LADA (VAZ) 2106,1.6,22,95000.0,5600.0
GAZ 33021,2.4,27,98000.0,6500.0
Hyundai Santa Fe,2.5,4,56000.0,45500.0
Mercedes S 63 AMG 4MATIC,5.5,11,56000.0,96900.0
Chevrolet Cobalt,1.5,0,0.0,19000.0
Mercedes S 63 AMG Coupe,5.5,11,110000.0,102000.0
Mitsubishi Pajero io,2.0,25,287000.0,11900.0
Hyundai Elantra,1.8,12,100000.0,22000.0
Chevrolet Equinox,1.5,7,176000.0,24400.0
Hyundai Azera,2.4,13,220000.0,22500.0
Chevrolet Cruze,1.4,9,129000.0,19000.0
Land Rover Range Rover,5.0,5,69800.0,169998.3
Changan Uni-V,1.5,2,19000.0,30500.0
LADA (VAZ) Niva,1.7,4,1000.0,30000.0
Mercedes Vito,2.2,16,325612.0,27500.0
Nissan X-Trail,2.0,4,61000.0,35400.0
Mercedes G 63 AMG,5.5,11,99876.0,111180.0
Hyundai Santa Fe,2.2,6,154752.0,47500.0
Toyota RAV4,2.0,19,268000.0,16200.0
BMW X7,3.0,4,52000.0,146200.0
Toyota Camry,2.5,13,172000.0,23400.0
Toyota Camry,2.5,5,232300.0,44444.0
Land Rover Defender,3.0,4,98900.0,169998.3
Mercedes E 300 e,2.0,4,58000.0,71060.0
Mercedes E 250,2.2,11,252000.0,29800.0
Toyota Land Cruiser,4.0,13,189000.0,60350.0
Porsche Panamera 4S Executive,2.9,7,131300.0,113332.2
Kia Optima,2.0,13,157492.0,23300.0
Hyundai Sonata,2.0,9,134500.0,26400.0
BMW 535,3.0,11,160000.0,30000.0
Changan Qiyuan Q05,1.5,0,0.0,28900.0
Kia Sorento,2.0,11,229000.0,28300.0
Mercedes CLS 450 4MATIC,3.0,7,131300.0,94443.5
BMW 323,2.5,25,364000.0,12700.0
Kia Optima,2.0,13,186790.0,22800.0
BMW 428,2.0,8,156000.0,36550.0
Chevrolet Cobalt,1.5,1,15000.0,33000.0
Ford Transit,2.5,26,399999.0,8900.0
Kia Stonic,1.4,2,10000.0,30500.0
BMW 640,3.0,8,121200.0,51850.0
Hyundai Elantra,1.6,2,36000.0,35999.0
LADA (VAZ) Priora,1.6,17,483000.0,10500.0
Mitsubishi Pajero,3.0,18,202000.0,22500.0
Land Rover RR Sport,3.0,8,70000.0,70550.0
Ford Transit,2.4,18,260000.0,25000.0
Toyota Corolla,1.6,11,185500.0,22700.0
Chevrolet Cruze,1.4,8,110000.0,16800.0
Toyota Land Cruiser Prado,2.7,12,136500.0,36900.0
Hyundai Accent,1.6,10,127000.0,18500.0
Toyota Avalon,3.5,13,295000.0,23600.0
Porsche Cayenne Coupe,3.0,4,62062.0,123250.0
Land Rover Range Rover,3.0,9,198500.0,69000.0
Hyundai Santa Fe,2.0,15,268125.0,22000.0
Mercedes C 300,2.0,8,102000.0,36550.0
Chevrolet Orlando,1.8,11,150200.0,16800.0
Chevrolet Equinox,1.5,8,124000.0,23955.0
Kia Sorento,1.6,5,51500.0,53380.0
BMW 528,2.0,9,132000.0,35700.0
BMW 520,2.0,14,193200.0,28900.0
Ford Mustang,2.3,8,57950.0,42500.0
Ford Fusion (North America),1.5,8,150000.0,18300.0
BMW X7,4.4,5,98000.0,153000.0
Toyota Land Cruiser,4.0,7,70200.0,96900.0
Kia Sportage,2.0,10,113340.0,28200.0
Jeep Wrangler,2.0,2,10578.0,79050.0
Land Rover Range Rover,3.0,8,122500.0,69360.0
Toyota Avalon,2.5,7,112000.0,43800.0
BYD Seal 05,1.5,0,0.0,31600.0
Kia Rio,1.6,6,92666.0,21500.0
Nissan Pathfinder,3.5,13,244000.0,20230.0
Mercedes C 180,1.6,8,75000.0,40000.0
LADA (VAZ) Priora,1.6,12,294000.0,9899.0
Mitsubishi ASX,2.0,13,220000.0,16500.0
BMW X5,3.0,2,15000.0,128860.0
Nissan Pathfinder,3.5,12,220000.0,17000.0
