Car Name,Attributes,Price,Currency
Mercedes E 240,"1997, 2.4 L, 400 000 km",10 900,AZN
Toyota Camry,"2022, 2.5 L, 75 000 km",27 900,$
BMW X5,"2019, 3.0 L, 69 500 km",63 000,$
Nissan Tiida,"2011, 1.5 L, 143 922 km",12 900,AZN
Chevrolet Trax,"2019, 1.4 L, 67 000 km",17 900,AZN
Toyota RAV4,"2022, 2.0 L, 55 000 km",48 500,AZN
Chevrolet Malibu,"2019, 1.5 L, 132 000 km",17 900,AZN
BMW X5,"2016, 3.0 L, 178 000 km",28 000,$
Mercedes Vito 115,"2008, 2.2 L, 400 000 km",21 500,AZN
Toyota RAV4,"2022, 2.0 L, 55 000 km",48 500,AZN
Mercedes G 55 AMG,"2008, 5.5 L, 234 000 km",40 500,$
Mitsubishi L200,"2011, 2.5 L, 245 350 km",22 900,AZN
BMW 520,"2016, 2.0 L, 120 000 km",40 900,AZN
Nissan X-Trail,"2012, 2.5 L, 219 000 km",19 000,AZN
BMW 420,"2015, 2.0 L, 171 000 km",17 800,$
Land Rover RR Sport,"2010, 5.0 L, 160 000 km",21 500,$
BMW 528,"2016, 2.0 L, 111 600 km",33 500,AZN
Mercedes E 240,"1997, 2.4 L, 400 000 km",10 900,AZN
Mercedes Vito,"2017, 2.2 L, 250 000 km",50 500,AZN
Kia K7,"2016, 2.2 L, 87 300 km",36 800,AZN
BMW X7,"2021, 3.0 L, 52 500 km",82 000,$
Ford Transit,"2014, 2.2 L, 236 000 km",29 500,AZN
Land Rover RR Sport,"2014, 5.0 L, 102 000 km",40 000,$
BMW 528,"2015, 2.0 L, 118 000 km",35 500,AZN
Toyota Corolla,"2013, 1.6 L, 255 200 km",22 300,AZN
Changan CS 55 Plus,"2025, 1.5 L, 0 km",16 150,€
Mitsubishi L200,"2021, 2.4 L, 62 000 km",41 500,$
Mercedes B 200,"2008, 2.0 L, 168 000 km",13 500,AZN
Kia Forte,"2018, 2.0 L, 83 686 km",22 200,AZN
Chevrolet Equinox,"2018, 1.5 L, 79 000 km",22 800,AZN
Kawasaki ZX-6R,"2023, 600 sm3, 1 700 km",26 500,AZN
Volkswagen Polo,"2021, 1.6 L, 75 000 km",25 000,AZN
LADA (VAZ) 2106,"2003, 1.6 L, 95 000 km",5 600,AZN
GAZ 33021,"1998, 2.4 L, 98 000 km",6 500,AZN
Hyundai Santa Fe,"2021, 2.5 L, 56 000 km",45 500,AZN
Mercedes S 63 AMG 4MATIC,"2014, 5.5 L, 56 000 km",57 000,$
Chevrolet Cobalt,"2025, 1.5 L, 0 km",19 000,AZN
Mercedes S 63 AMG Coupe,"2014, 5.5 L, 110 000 km",60 000,$
Mitsubishi Pajero io,"2000, 2.0 L, 287 000 km",11 900,AZN
Hyundai Elantra,"2013, 1.8 L, 100 000 km",22 000,AZN
